ds,yhat,yhat_lower,yhat_upper
2015-07-01,85.21578813062744,69.08738239242817,100.58584531947162
2015-07-02,88.32948084454071,71.85235515652239,102.93137620125225
2015-07-03,99.10385030430677,82.43220525491805,114.68739844706441
2015-07-04,102.31037925332208,87.6395619654907,118.58750580651153
2015-07-05,97.0833798977113,81.97793139417267,112.6452648999886
2015-07-06,99.83070271651624,84.47679663556968,115.76934351305738
2015-07-07,100.32174604985202,83.96317614881822,116.10019411788781
2015-07-08,104.35863020488293,88.9402301910301,120.63319058395659
2015-07-09,107.55263647593904,92.41098676271234,123.8722268381495
2015-07-10,118.27473349681918,103.1798020761159,135.8493362616436
2015-07-11,121.30620949101885,105.66465631722168,136.37379401871775
2015-07-12,115.79397495443848,99.06225887602854,129.34608905626055
2015-07-13,118.16083114693642,101.98401232726195,134.16585164463982
2015-07-14,118.19297699924928,101.72763324379314,132.80605078496095
2015-07-15,121.7106328297771,105.50225387424535,135.9098620371592
2015-07-16,124.34389717542858,108.76634752566062,140.45246462342953
2015-07-17,134.48267586851546,118.37779316437438,148.78542709113182
2015-07-18,136.92671897956615,122.0955037349575,152.94429638928412
2015-07-19,130.8403470786556,115.50673843882993,146.94481715033444
2015-07-20,132.6621785083359,116.19711897335837,148.9836391470895
2015-07-21,132.19214553725257,116.7019290803505,147.92424804146756
2015-07-22,135.261691581918,120.28563300789007,151.5404501589424
2015-07-23,137.50927774700776,121.33748065180379,152.6426499796754
2015-07-24,147.33004759324015,130.7719258211398,161.79326029447964
2015-07-25,149.52569309921708,133.45053174458764,164.44467759384128
2015-07-26,143.2591079925814,129.02690006179446,158.90389158117648
2015-07-27,144.96414212201276,129.7963491890132,161.19254593330268
2015-07-28,144.43274393651808,128.6082083281186,160.48475991940953
2015-07-29,147.48537968826426,131.93739824638132,163.39747377643945
2015-07-30,149.7468514136474,133.85386879523787,164.88019456361
2015-07-31,159.59635392786385,143.8484607880094,175.03167342687118
2015-08-01,161.81780291619438,145.81827631982776,176.66294170470675
2015-08-02,155.5550075058593,140.82767828228572,170.14326042733114
2015-08-03,157.2219866498437,141.52022475034929,172.11986675907718
2015-08-04,156.59070089288986,140.95978253340894,171.35241258050593
2015-08-05,159.46207193204086,142.760609206433,175.4493326345587
2015-08-06,161.4423955256579,147.2326384082455,176.7498711186696
2015-08-07,170.89397167401538,154.63518102147816,185.6880999937878
2015-08-08,172.58596845288207,156.83442233542078,187.8196082830329
2015-08-09,165.65007822308496,149.46530536391666,181.02417585737265
2015-08-10,166.4912523194332,151.0926042047301,181.82652702373278
2015-08-11,164.8757743439306,149.7829618453185,179.6370661011018
2015-08-12,166.60253511463455,150.70633530452844,182.40835592217115
2015-08-13,167.27960778766194,151.54531869736135,182.48381331630543
2015-08-14,175.27494254105937,159.6747404934292,191.54855109637762
2015-08-15,175.3671952766567,159.75872994149572,190.2467105741802
2015-08-16,166.7012497843579,151.85932519253248,182.63642231179543
2015-08-17,165.69872280210112,151.66386007285234,180.76046618900915
2015-08-18,162.14571793282227,145.57334760374152,177.5547347910759
2015-08-19,161.8636996365011,147.4349889409359,178.02932773926207
2015-08-20,160.48559608130734,145.87228908419914,176.23397246474042
2015-08-21,166.40596231860937,150.74284177194406,182.26145345431934
2015-08-22,164.43123179465678,147.56858828988112,180.0141707038124
2015-08-23,153.7346302856141,138.96151634149226,169.2042772133926
2015-08-24,150.76605709117814,134.43804044813024,166.81893060639365
2015-08-25,145.33921508287253,128.75287572710704,161.8172363675673
2015-08-26,143.30187639300277,128.19854358728276,157.83266627358546
2015-08-27,140.31140755328371,124.73993312366686,155.2040168123292
2015-08-28,144.78439966497,130.30508694870176,160.09801525168535
2015-08-29,141.5464444561021,126.27483515365272,155.77125710071243
2015-08-30,129.78664158362284,114.10213125673663,144.18798530820442
2015-08-31,125.96715137117661,110.54495278374917,140.2726458629262
2015-09-01,119.91008191255757,103.90316087188458,135.41164299031092
2015-09-02,117.46760236214723,102.36396265070775,132.34308816158088
2015-09-03,114.29740892611358,98.4043112869611,130.13556798663214
2015-09-04,118.8123894516294,102.82148882630794,134.78796008586477
2015-09-05,115.83052542596863,100.32964967268252,130.90054152275044
2015-09-06,104.52961243099375,89.78973763930912,118.86139638254521
2015-09-07,101.35710681017454,85.82969854511249,116.01004719435086
2015-09-08,96.11737912749989,80.89454947867308,111.91000048545918
2015-09-09,94.64225621870605,77.61676818989115,109.32875001146483
2015-09-10,92.56696694979345,78.55379501291125,109.157044267635
2015-09-11,98.28032512140891,81.78430158980005,113.32119228047311
2015-09-12,96.57517515671111,81.28516126885656,110.33677445164058
2015-09-13,86.60366808128978,71.96672827433291,102.96211009962664
2015-09-14,84.78766201163533,69.50531196211281,100.10203815682026
2015-09-15,80.90651453462102,65.19709028730007,94.8387661887586
2015-09-16,80.76813626169306,65.40980932191924,95.98945454738336
2015-09-17,79.98540912794883,64.49829027208541,95.08127613187843
2015-09-18,86.9267926202626,71.07058778316217,102.648288936698
2015-09-19,86.36713476826446,69.2994654299729,101.92632673864208
2015-09-20,77.44324831627193,61.390741714001905,92.62981515718228
2015-09-21,76.56454100928215,61.482415853840145,90.74206173221023
2015-09-22,73.50096400175227,57.633501688012814,87.72957218592606
2015-09-23,74.05414623802143,58.8917859131439,90.44490479620264
2015-09-24,73.83381887331797,56.90313003769124,88.1658424289946
2015-09-25,81.20835523898816,65.34368185914695,96.82526761811852
2015-09-26,80.95544728072812,65.26918979574006,96.10219083800911
2015-09-27,72.21748452464365,57.66287888106318,87.55372905541697
2015-09-28,71.4119315288699,55.607299896375466,87.40402658131396
2015-09-29,68.31897599775081,53.16475036712587,83.25245977543779
2015-09-30,68.7523244699703,53.63796613902251,84.0039252251774
2015-10-01,68.33525933710375,51.76550758664487,83.42118505530779
2015-10-02,75.4507927332852,61.01781652938309,92.04747597212483
2015-10-03,74.89194833513726,59.00265618402121,89.9676386261413
2015-10-04,65.81674704218732,50.4934558908305,80.9242986356604
2015-10-05,64.65820196393673,48.65207313505362,79.56281955373893
2015-10-06,61.21160367894982,46.418902937049936,75.75486312447316
2015-10-07,61.30498058491402,45.14666039455521,77.08423236723597
2015-10-08,60.57485494913358,45.5627837171222,76.22262145095027
2015-10-09,67.41613586531672,50.605965645728816,82.20453407236694
2015-10-10,66.63218453589721,51.625224162823294,82.46571344691358
2015-10-11,57.38963088872678,40.895681299752056,73.39596910982306
2015-10-12,56.12824863798931,40.90397920227957,70.27874160814962
2015-10-13,52.64817009631482,36.40351002012291,67.80774283597543
2015-10-14,52.78032463181607,37.92808614460202,67.11737998859188
2015-10-15,52.16221926404616,36.93730586702513,67.57078108909526
2015-10-16,59.18789942989373,44.00967929789685,75.37612850878017
2015-10-17,58.65812124782279,44.212169293541756,74.54664196663082
2015-10-18,49.73530944774011,33.78142789771136,65.71883263549726
2015-10-19,48.8536026583257,33.1748578182726,64.43731888197561
2015-10-20,45.80626156026864,30.586766452525595,61.199916335077646
2015-10-21,46.41631778709237,30.105424952477616,61.8809341057855
2015-10-22,46.31257604146182,30.886198410618093,61.57914951638343
2015-10-23,53.879801576931776,38.93692932979883,69.81931402551477
2015-10-24,53.90911879693327,38.77502773985874,69.92906287559407
2015-10-25,45.553190001149545,30.760898676279712,61.32424280602764
2015-10-26,45.23647138742443,28.659096631861143,60.57066537672335
2015-10-27,42.742817874421064,27.938301060935228,58.66594706342026
2015-10-28,43.88631138621304,27.784030449518827,59.50918383859162
2015-10-29,44.28742256211476,29.837608864813415,60.26098126745939
2015-10-30,52.32333628063309,36.36968447973476,67.01615319358261
2015-10-31,52.77846571257349,38.29033654019636,68.97320077875042
2015-11-01,44.79972357908286,29.123375784086075,60.10348299193588
2015-11-02,44.806847988104366,28.184228766023814,59.58043681196164
2015-11-03,42.58005521899883,28.709993444792573,58.21513704532417
2015-11-04,43.93089534800876,27.927889411725193,58.83090632384152
2015-11-05,44.478422273827405,27.775548983785235,58.7165229761564
2015-11-06,52.599435239362364,36.84511190262016,67.7843897665732
2015-11-07,53.07919416833304,37.77151094504797,68.57094819589685
2015-11-08,45.066428217541656,30.706530816433016,61.10207577880397
2015-11-09,44.98368812789418,29.378155363658475,59.994341685440496
2015-11-10,42.614940900607635,27.290724776927533,57.46641431778014
2015-11-11,43.77635940391728,28.890248648307633,59.05256283966791
2015-11-12,44.09241979696435,29.39211367096966,59.874298461240656
2015-11-13,51.9461400354612,36.70556850938842,66.90403107202154
2015-11-14,52.129486884699055,36.89764369159216,66.84867053194459
2015-11-15,43.7985225702006,28.322302673977024,58.94412636781088
2015-11-16,43.38359057127137,27.68279524218202,58.14513062908433
2015-11-17,40.67681470135897,25.32210927645588,56.50710416668577
2015-11-18,41.50278877654345,26.543174723972037,56.96494331945504
2015-11-19,41.49456949679002,26.12009171256298,56.17919454418972
2015-11-20,49.04380553405473,32.92979867301943,64.47987485911813
2015-11-21,48.951030057490456,32.81865384987258,64.09561240694674
2015-11-22,40.38068778683988,24.806798401196946,56.51102707381874
2015-11-23,39.77119627585825,24.606459044973803,55.455023553858915
2015-11-24,36.922316071207995,21.87369860943869,52.48487027659289
2015-11-25,37.66570791287894,22.650175554187978,53.14666886101753
2015-11-26,37.64079087239777,21.98022363931789,52.54320299742221
2015-11-27,45.244736125547114,30.156272445899766,60.5224834868856
2015-11-28,45.28262572849488,28.92320449109213,60.556487775922
2015-11-29,36.92235004712297,21.886001194691357,51.61010209420567
2015-11-30,36.60454647973329,20.945775229095993,52.0280605837505
2015-12-01,34.11008303955255,19.525161418076692,49.23112198799802
2015-12-02,35.28984014812795,19.663971272093928,50.327419276988515
2015-12-03,35.7811647956265,20.50039698454388,52.23795524945635
2015-12-04,43.97757879875284,27.218204283570312,59.14549704332088
2015-12-05,44.67890239045739,29.51142532390166,61.01522742592496
2015-12-06,37.04614444108826,21.793914855584102,50.785267419919236
2015-12-07,37.51146488197862,22.37954135935422,52.57077445154939
2015-12-08,35.86548964879405,20.00646744143556,51.06574670950652
2015-12-09,37.92786157041581,22.224803517006027,53.306658604402266
2015-12-10,39.323145728459885,23.757620883283845,54.589379431877404
2015-12-11,48.43092776386905,32.7353018901733,63.88629331158782
2015-12-12,50.036137220652506,35.390055271117056,66.64357421069845
2015-12-13,43.284171046275404,28.73327043417781,58.72043677870832
2015-12-14,44.59111994121813,29.20594555547971,59.817283556851145
2015-12-15,43.7313739624335,28.236251807835497,59.16977283556728
2015-12-16,46.50848589719919,30.96176469639555,63.2193921648524
2015-12-17,48.53140509704987,32.61373020680593,65.06116435582958
2015-12-18,58.164913588552906,42.15173265076309,73.436838129086
2015-12-19,60.18028920192525,45.23485968665656,76.01926603790601
2015-12-20,53.710762961146344,38.73778881235227,68.8364783880073
2015-12-21,55.1620652134816,40.685055366254325,70.48917556715224
2015-12-22,54.300328557441105,38.26472240471886,70.28125652218792
2015-12-23,56.92321783258231,40.23996180784173,71.70428162495664
2015-12-24,58.63639193129861,42.69737452766863,73.91109275076953
2015-12-25,67.80412187807148,51.94135120255881,83.63315313336058
2015-12-26,69.1725296960682,52.3969546762,85.54174776521532
2015-12-27,61.90777790784241,46.19847567742188,77.31625530874476
2015-12-28,62.423963404609324,47.637331502119345,77.45727832512416
2015-12-29,60.498517108370905,44.90437397913749,75.69384625896939
2015-12-30,61.943210023649726,46.26361480801914,77.49186457934873
2015-12-31,62.38042421558656,46.03130803691599,77.85760011401845
2016-01-01,70.19351498652806,55.28298937315139,85.68238431609592
2016-01-02,70.1772859405402,54.285680305483865,85.14388299156879
2016-01-03,61.493143812468276,45.8883545167396,76.79267423864574
2016-01-04,60.57922997934789,43.663083177376464,76.84697618698875
2016-01-05,57.23780201423346,42.173395623609785,72.7949548454982
2016-01-06,57.305743681895244,41.22690501712405,73.03956580621247
2016-01-07,56.43031900668596,41.03457952055834,72.55963605334732
2016-01-08,63.0190082809508,46.83393349364662,78.99124517178001
2016-01-09,61.88945989037197,46.469891009551695,77.35758953499271
2016-01-10,52.22413731026179,36.70260036191202,67.62900395082913
2016-01-11,50.47997064310876,34.79918747209553,65.61778613928416
2016-01-12,46.47529815803668,31.491393758397397,62.118615707900446
2016-01-13,46.059987659829034,30.845481034364187,61.853100401513004
2016-01-14,44.89086375583999,28.414099809258197,60.391474151399535
2016-01-15,51.38128804330574,36.45550299138006,66.01240983438284
2016-01-16,50.35093369460551,34.192606511029275,64.70532113087692
2016-01-17,40.980339608938934,25.0289758147711,57.03291671498331
2016-01-18,39.72055733821152,23.668460647265885,54.586891940573004
2016-01-19,36.38017796603812,18.95597159897605,52.148685399644954
2016-01-20,36.79562827755203,21.849987088029295,52.01637981443833
2016-01-21,36.57593697615671,21.340752222961992,51.854247892704144
2016-01-22,44.14542594456309,29.752521730205313,59.765912343942766
2016-01-23,44.3011351309587,29.417589659021488,59.62820573852662
2016-01-24,36.19878301602069,21.116417715036818,52.40027119688168
2016-01-25,36.262952129698235,20.567792429755762,51.0530046154359
2016-01-26,34.27469703045674,17.555486530507665,48.62432077920794
2016-01-27,36.04245050409152,20.33862922256843,50.06159684849859
2016-01-28,37.178336843492936,21.027446004032452,52.6326296992214
2016-01-29,46.04871927899632,29.681102818238724,61.994615326666185
2016-01-30,47.425000806331305,31.589246155654592,64.04163728828233
2016-01-31,40.43923961008647,23.616356937205246,56.032337474844674
2016-02-01,41.49486716921661,26.174549386814117,57.73240347117447
2016-02-02,40.35477058348106,24.158414202301618,56.236952983918854
2016-02-03,42.812602949482454,27.62971793351884,58.09851411660608
2016-02-04,44.46942040648984,29.00829936247586,58.46944284675549
2016-02-05,53.68446464898686,38.03139080876231,69.1082348305027
2016-02-06,55.22610408255254,39.070897783759385,70.4060693738853
2016-02-07,48.22749112709043,31.570711528103125,62.77857374942537
2016-02-08,49.097222555101986,34.125184809978734,64.66742956167764
2016-02-09,47.60726574291782,32.30449520657058,62.45332904825459
2016-02-10,49.564018527353916,33.794091914174,64.92272755606524
2016-02-11,50.58460758646462,35.859565976778434,65.67473492381134
2016-02-12,59.04725272358082,43.260440119116886,74.56814112971202
2016-02-13,59.74172088178444,43.813796682213685,75.4696563424126
2016-02-14,51.82443984107155,36.04877187611509,68.81118995096737
2016-02-15,51.70156822067085,36.69911954214149,66.7931047517834
2016-02-16,49.19732063692654,33.74014911905341,65.31137940544913
2016-02-17,50.14338958623409,35.42384066791158,65.68635130843573
2016-02-18,50.18162689773552,35.264841757796766,64.60439047144564
2016-02-19,57.71380712311036,42.09667508806153,72.70740725994746
2016-02-20,57.55151625218676,41.327388514500974,73.06856696228282
2016-02-21,48.870750117894985,33.4340061357975,64.3964592966525
2016-02-22,48.121536361193925,32.81337800402815,63.29412876543813
2016-02-23,45.1148692296162,29.214545110568427,60.21056180930642
2016-02-24,45.692850004195456,29.80180144348576,61.675371023541715
2016-02-25,45.50416111728756,29.826017910852414,61.34885734046476
2016-02-26,52.953721905647555,37.49600220116093,67.26192919845916
2016-02-27,52.85256726394101,38.027127282909646,68.65223961999327
2016-02-28,44.37253299564016,29.281065037631528,61.23852314979123
2016-02-29,43.95605855316404,29.214102675716088,59.43347439405024
2016-03-01,41.403390738189216,25.668544140525395,57.33321142938676
2016-03-02,42.54307309210656,26.916486814730767,56.85825787262906
2016-03-03,43.007838833913574,27.19570039550127,59.13909555645808
2016-03-04,51.18474323087376,35.220823788059334,66.70412918209018
2016-03-05,51.86556308794505,36.885649836418416,67.59005607356471
2016-03-06,44.20203243333313,28.417153296597768,59.32044099212666
