ds,yhat,yhat_lower,yhat_upper
2017-09-01,180.31846585268863,151.4454344226594,209.19149728271788
2017-09-02,180.53479266808847,151.66176123805923,209.40782409811771
2017-09-03,174.29822924451918,145.42519781448993,203.17126067454842
2017-09-04,174.38293065138126,145.50989922135201,203.2559620814105
2017-09-05,171.18817395817086,142.31514252814162,200.0612053882001
2017-09-06,170.16538396465717,141.29235253462792,199.0384153946864
2017-09-07,172.65216368041692,143.77913225038768,201.52519511044616
2017-09-08,183.28882920498526,154.41579777495602,212.1618606350145
2017-09-09,185.47349649080445,156.6004650607752,214.3465279208337
2017-09-10,168.1893016964556,139.31627026642636,197.06233312648484
2017-09-11,175.21062963744976,146.3375982074205,204.083661067479
2017-09-12,167.34682014949527,138.47378871946603,196.21985157952452
2017-09-13,167.73815956724965,138.8651281372204,196.6111909972789
2017-09-14,165.50511542739736,136.6320839973681,194.3781468574266
2017-09-15,170.32761289773478,141.45458146770554,199.20064432776402
2017-09-16,178.62314996304178,149.75011853301254,207.49618139307103
2017-09-17,174.93410773945158,146.06107630942233,203.80713916948082
2017-09-18,177.53580972825137,148.66277829822212,206.4088411582806
2017-09-19,167.80537225114352,138.93234082111428,196.67840368117277
2017-09-20,166.12436174057513,137.25133031054588,194.99739317060437
2017-09-21,165.09063356816932,136.21760213814008,193.96366499819857
2017-09-22,181.2297293983088,152.35669796827955,210.10276082833803
2017-09-23,181.10532078343962,152.23228935341038,209.97835221346887
2017-09-24,166.80008518925578,137.92705375922654,195.67311661928503
2017-09-25,176.56309432936655,147.6900628993373,205.4361257593958
2017-09-26,166.57508786865836,137.7020564386291,195.4481192986876
2017-09-27,165.41285311902251,136.53982168899327,194.28588454905176
2017-09-28,165.9929734025166,137.11994197248737,194.86600483254585
2017-09-29,175.39197115399318,146.51893972396394,204.26500258402243
2017-09-30,172.2337135813594,143.36068215133017,201.10674501138865
2017-10-01,175.59691080317285,146.7238793731436,204.4699422332021
2017-10-02,174.45078685321215,145.5777554231829,203.3238182832414
2017-10-03,170.81394869750724,141.940917267478,199.6869801275365
