ds,y
2015-07-01,88.33763157894737
2015-07-02,100.34628571428571
2015-07-03,108.78222222222222
2015-07-04,94.87333333333333
2015-07-05,107.96648648648647
2015-07-06,106.83
2015-07-07,111.77148148148147
2015-07-08,104.93857142857144
2015-07-09,101.35035714285713
2015-07-10,120.47475
2015-07-11,129.75466666666665
2015-07-12,121.98324324324325
2015-07-13,123.82342105263157
2015-07-14,122.17
2015-07-15,131.77566666666667
2015-07-16,130.83025
2015-07-17,133.7143137254902
2015-07-18,145.82852941176472
2015-07-19,122.39083333333332
2015-07-20,130.288431372549
2015-07-21,127.77851851851852
2015-07-22,144.2021052631579
2015-07-23,143.6751851851852
2015-07-24,153.93113636363637
2015-07-25,139.90923076923076
2015-07-26,139.32266666666666
2015-07-27,137.96978723404254
2015-07-28,129.368
2015-07-29,131.29625000000001
2015-07-30,139.30805555555557
2015-07-31,140.91711111111113
2015-08-01,166.80249999999998
2015-08-02,150.71702702702703
2015-08-03,146.66039215686274
2015-08-04,150.41533333333334
2015-08-05,139.4652380952381
2015-08-06,169.60333333333335
2015-08-07,149.01633333333334
2015-08-08,173.22909090909093
2015-08-09,165.71813953488373
2015-08-10,164.82
2015-08-11,140.2617857142857
2015-08-12,160.58529411764704
2015-08-13,178.57785714285714
2015-08-14,167.02774193548387
2015-08-15,161.56130434782608
2015-08-16,162.85299999999998
2015-08-17,157.4068888888889
2015-08-18,164.60130434782607
2015-08-19,154.0425
2015-08-20,130.942
2015-08-21,180.04857142857142
2015-08-22,164.24395348837209
2015-08-23,163.35594594594596
2015-08-24,163.4494285714286
2015-08-25,149.59714285714284
2015-08-26,122.74818181818182
2015-08-27,119.902
2015-08-28,139.62225
2015-08-29,129.33422222222222
2015-08-30,124.68315789473684
2015-08-31,116.27321428571429
2015-09-01,113.68681818181818
2015-09-02,99.70848484848486
2015-09-03,102.78911111111111
2015-09-04,113.69142857142856
2015-09-05,120.43799999999999
2015-09-06,111.25613636363637
2015-09-07,114.49236842105263
2015-09-08,98.16842105263159
2015-09-09,105.83038461538462
2015-09-10,82.28558823529411
2015-09-11,112.44290322580645
2015-09-12,58.33625
2015-09-13,88.16434782608695
2015-09-14,90.81547619047619
2015-09-15,76.665
2015-09-16,82.61632653061224
2015-09-17,74.93672727272728
2015-09-18,93.08565217391303
2015-09-19,84.45384615384616
2015-09-20,77.89142857142858
2015-09-21,84.3987037037037
2015-09-22,96.6692857142857
2015-09-23,82.45742857142858
2015-09-24,57.87548387096775
2015-09-25,89.87466666666666
2015-09-26,77.91117647058823
2015-09-27,73.30307692307693
2015-09-28,66.47941176470589
2015-09-29,69.43857142857142
2015-09-30,66.63837209302325
2015-10-01,70.37358974358975
2015-10-02,60.83571428571429
2015-10-03,70.07628571428572
2015-10-04,61.650625
2015-10-05,67.43233333333333
2015-10-06,62.96951219512195
2015-10-07,52.415
2015-10-08,56.87829268292683
2015-10-09,63.93277777777777
2015-10-10,71.83960784313726
2015-10-11,61.70972972972972
2015-10-12,57.15915492957746
2015-10-13,56.02
2015-10-14,48.36275
2015-10-15,45.572717391304344
2015-10-16,48.00866666666666
2015-10-17,70.715
2015-10-18,57.569545454545455
2015-10-19,60.82537313432835
2015-10-20,59.73769230769231
2015-10-21,59.200185185185184
2015-10-22,57.7855
2015-10-23,58.707027027027024
2015-10-24,64.3
2015-10-25,49.35
2015-10-26,43.387499999999996
2015-10-27,48.96451612903226
2015-10-28,50.666818181818186
2015-10-29,43.13392857142857
2015-10-30,48.355
2015-10-31,43.192040816326525
2015-11-01,49.96136363636364
2015-11-02,44.15212121212121
2015-11-03,41.49723404255319
2015-11-04,39.91
2015-11-05,51.081
2015-11-06,49.96966666666666
2015-11-07,49.90857142857143
2015-11-08,51.99925925925926
2015-11-09,49.3091304347826
2015-11-10,58.53555555555556
2015-11-11,52.66782608695653
2015-11-12,51.08
2015-11-13,61.63076923076923
2015-11-14,66.0975
2015-11-15,46.03666666666667
2015-11-16,36.44085106382979
2015-11-17,42.15111111111111
2015-11-18,52.860461538461536
2015-11-19,47.125416666666666
2015-11-20,54.209583333333335
2015-11-21,40.35955882352941
2015-11-22,46.23307692307692
2015-11-23,36.61615384615384
2015-11-24,40.62621621621622
2015-11-25,35.62827586206897
2015-11-26,38.76111111111111
2015-11-27,42.62708333333333
2015-11-28,48.01638888888888
2015-11-29,43.3125
2015-11-30,39.81111111111111
2015-12-01,37.9848275862069
2015-12-02,39.67823529411765
2015-12-03,42.40314285714285
2015-12-04,44.409130434782604
2015-12-05,61.26112068965517
2015-12-06,58.95772727272727
2015-12-07,47.80352941176471
2015-12-08,36.12916666666667
2015-12-09,38.11515151515152
2015-12-10,30.185454545454547
2015-12-11,36.239285714285714
2015-12-12,54.89655172413793
2015-12-13,38.98111111111111
2015-12-14,34.0525
2015-12-15,39.675625
2015-12-16,39.019999999999996
2015-12-17,40.32857142857143
2015-12-18,39.69357142857143
2015-12-19,53.86379310344827
2015-12-20,48.574666666666666
