ds,yhat,yhat_lower,yhat_upper
2015-07-01,85.21578813062744,70.07407953409219,100.40033321277852
2015-07-02,88.32948084454071,72.6062742484341,104.00570626585305
2015-07-03,99.10385030430677,82.92155110070678,114.10459718591314
2015-07-04,102.31037925332208,87.3421745845808,118.383748596889
2015-07-05,97.0833798977113,81.98627645184797,112.85962902283043
2015-07-06,99.83070271651624,85.12592291910262,115.04152642283451
2015-07-07,100.32174604985202,85.09134640245232,115.11472399995768
2015-07-08,104.35863020488293,87.97530665886919,119.75637760606342
2015-07-09,107.55263647593904,92.07339792404574,123.21316891560014
2015-07-10,118.27473349681918,103.34735467183492,134.51711074885776
2015-07-11,121.30620949101885,105.96747512323603,136.62849965463613
2015-07-12,115.79397495443848,100.17955565325954,132.38399247479603
2015-07-13,118.16083114693642,102.76999448432164,134.40064627640334
2015-07-14,118.19297699924928,102.56633025496456,134.42798849993787
2015-07-15,121.7106328297771,105.1908479468885,137.64023053463092
2015-07-16,124.34389717542858,109.4407157131576,140.892220583657
2015-07-17,134.48267586851546,117.53523303752988,149.12393956493503
2015-07-18,136.92671897956615,121.21251098757982,153.39373908998402
2015-07-19,130.8403470786556,115.90698439200975,147.37956600088725
2015-07-20,132.6621785083359,117.71237995394901,147.4613689594002
2015-07-21,132.19214553725257,116.0286958480438,146.68398091033225
2015-07-22,135.261691581918,120.19901003352727,149.83680177561982
2015-07-23,137.50927774700776,121.17893132267666,154.00563873218786
2015-07-24,147.33004759324015,132.5546964361189,163.41006250561614
2015-07-25,149.52569309921708,134.09981036508756,164.88906383355075
2015-07-26,143.2591079925814,128.30257774441588,158.27011583837452
2015-07-27,144.96414212201276,129.66930769451764,161.61192454398434
2015-07-28,144.43274393651808,129.69470663518183,159.80847593217717
2015-07-29,147.48537968826426,132.2113778481581,161.7483192583702
2015-07-30,149.7468514136474,134.27257358193376,164.57603212979836
2015-07-31,159.59635392786385,144.41308248160146,175.17019959998893
2015-08-01,161.81780291619438,146.3888747082948,177.84071099468426
2015-08-02,155.5550075058593,140.3742224537743,171.64377194848117
2015-08-03,157.2219866498437,141.0663132725756,172.16034408546926
2015-08-04,156.59070089288986,141.20954195321886,172.42380722061026
2015-08-05,159.46207193204086,142.8758852276975,174.31116205103552
2015-08-06,161.4423955256579,146.53413900237933,178.35003726605964
2015-08-07,170.89397167401538,154.88617325851615,186.92415864482197
2015-08-08,172.58596845288207,158.2301348812501,187.87475102052574
2015-08-09,165.65007822308496,149.81210339544916,180.89461419146178
2015-08-10,166.4912523194332,151.8881061764844,183.0047947680631
